what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567299823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567306838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567306907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567366153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567366793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567527141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567530594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567897999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405567900720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568049031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568051471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568054948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568057197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568083816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568085929
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568143892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568146642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568146651
opened,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568146714
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1405568146714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.newWindow",1405568146725
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568177100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568219818
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1405568219820
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1405568238905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568239218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568239863
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405568239942
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405568239972
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405568240002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568240039
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405568240124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568240141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405568240150
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405568240173
